"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1084,819,1157,"Chautauqua","NY"
"37181",1264,1060,567,"Vance","NC"
"47183",1389,1203,414,"Weakley","TN"
"44003",1679,1330,4548,"Kent","RI"
"08101",1763,1574,6560,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",1519,1325,2082,"Pulaski","MO"
"19151",1571,1448,36,"Pocahontas","IA"
"22039",1531,1299,266,"Evangeline","LA"
"28049",2065,1715,4007,"Hinds","MS"
"28081",1632,1409,1209,"Lee","MS"
"29117",1311,1112,218,"Livingston","MO"
"21083",1708,1438,276,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",2180,1887,260,"Garvin","OK"
"47083",1462,1313,107,"Houston","TN"
"48189",1637,1395,552,"Hale","TX"
"51830",1669,1368,689,"Williamsburg","VA"
"51595",1054,919,114,"Emporia","VA"
"51169",1072,897,134,"Scott","VA"
"55069",1162,979,292,"Lincoln","WI"
"35043",1217,931,5868,"Sandoval","NM"
"27065",2219,1888,385,"Kanabec","MN"
"13321",1410,1172,300,"Worth","GA"
"37145",1211,1036,954,"Person","NC"
"31035",1707,1545,58,"Clay","NE"
"31169",1903,1702,34,"Thayer","NE"
"54083",1121,1059,66,"Randolph","WV"
"47077",1431,1275,408,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",2118,1711,9974,"Manatee","FL"
"16027",972,727,5247,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",1787,1533,4560,"Kenton","KY"
"22091",1932,1752,86,"St. Helena","LA"
"27133",1349,1238,176,"Rock","MN"
"29119",1741,1515,180,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",938,642,75,"Henry","OH"
"47151",1714,1504,96,"Scott","TN"
"06011",1284,1011,568,"Colusa","CA"
"13063",1594,1380,7919,"Clayton","GA"
"13057",1761,1478,12396,"Cherokee","GA"
"18065",1415,1210,723,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
"21215",1660,1450,684,"Spencer","KY"
