"GEOID","mean_premium","n_obs","NAME"
"20015",2019,2019,"Butler"
"21149",1515,49,"McLean"
"22043",910,112,"Grant"
"28137",1770,446,"Tate"
"28017",1808,33,"Chickasaw"
"36099",1270,243,"Seneca"
"28029",1938,185,"Copiah"
"42075",985,2929,"Lebanon"
"48353",2094,107,"Nolan"
"51775",980,1353,"Salem"
"54031",1008,78,"Hardy"
"01029",1459,122,"Cleburne"
"55077",1111,63,"Marquette"
"35015",2034,1160,"Eddy"
"19069",1299,66,"Franklin"
"28111",2094,74,"Perry"
"21207",1287,125,"Russell"
"24047",1652,1928,"Worcester"
"47081",1441,296,"Hickman"
"48217",1810,384,"Hill"
"42045",1790,15803,"Delaware"
"48129",NA,NA,"Donley"
"51135",1205,112,"Nottoway"
"13055",1394,230,"Chattooga"
"19109",1226,99,"Kossuth"
"27027",1385,1939,"Clay"
"36009",1182,428,"Cattaraugus"
"06087",1954,3095,"Santa Cruz"
"24015",1305,4025,"Cecil"
"26021",1489,142,"Berrien"
"28003",1952,212,"Alcorn"
"29145",1465,1239,"Newton"
"48215",1727,8137,"Hidalgo"
"48403",NA,NA,"Sabine"
"01009",1648,1048,"Blount"
"08013",1844,8067,"Boulder"
"13247",1632,2845,"Rockdale"
"17027",1351,353,"Clinton"
"18055",1468,164,"Greene"
"20027",NA,NA,"Clay"
"21073",1361,884,"Franklin"
"28133",2408,73,"Sunflower"
"31149",NA,NA,"Rock"
"45087",1359,225,"Union"
"47113",1620,2255,"Madison"
"51740",1507,4015,"Portsmouth"
"72101",NA,NA,"Morovis"
"51810",1985,22013,"Virginia Beach"
"55049",1110,239,"Iowa"
"17055",1486,216,"Franklin"
"19171",1398,175,"Tama"
"19101",1375,107,"Jefferson"
"20107",NA,NA,"Linn"
"37083",1224,693,"Halifax"
"21155",1372,171,"Marion"
"38069",1445,42,"Pierce"
"17187",1214,123,"Warren"
"46123",1656,36,"Tripp"
"72153",NA,NA,"Yauco"
"42131",1124,286,"Wyoming"
"05021",1375,63,"Clay"
"12047",1591,52,"Hamilton"
"18043",1481,2157,"Floyd"
"26057",2058,200,"Gratiot"
"19137",1278,120,"Montgomery"
"27151",1407,141,"Swift"
"27127",1505,131,"Redwood"
"20023",NA,NA,"Cheyenne"
"21087",1435,41,"Green"
"17041",1283,148,"Douglas"
"17095",1079,963,"Knox"
"51590",960,1160,"Danville"
"55065",1305,82,"Lafayette"
"48195",NA,NA,"Hansford"
"48437",1467,33,"Swisher"
"08095",2197,39,"Phillips"
"17067",1309,52,"Hancock"
"26101",1429,196,"Manistee"
"30075",NA,NA,"Powder River"
"31127",1438,80,"Nemaha"
"28059",3154,2136,"Jackson"
"48483",NA,NA,"Wheeler"
"46101",1507,69,"Moody"
"45083",1189,8163,"Spartanburg"
"04025",1060,6312,"Yavapai"
"13067",1815,28115,"Cobb"
"13043",1543,80,"Candler"
"31075",NA,NA,"Grant"
"19099",1336,847,"Jasper"
"21009",1520,354,"Barren"
"19175",1338,160,"Union"
"26143",1117,297,"Roscommon"
"29151",1452,121,"Osage"
"28085",2046,257,"Lincoln"
"39047",1231,199,"Fayette"
"47177",1307,340,"Warren"
"48227",1737,239,"Howard"
"48151",NA,NA,"Fisher"
"72005",NA,NA,"Aguadilla"
"48357",1855,80,"Ochiltree"
"17115",1063,1770,"Macon"
"08025",NA,NA,"Crowley"
"19011",1395,528,"Benton"
"19065",1183,111,"Fayette"
"20133",NA,NA,"Neosho"
"27085",1573,1371,"McLeod"
"13021",2187,4537,"Bibb"
"38035",1548,1199,"Grand Forks"
"22001",1977,509,"Acadia"
"17117",1368,324,"Macoupin"
"47173",1398,293,"Union"
"48031",1834,107,"Blanco"
"48331",1436,262,"Milam"
"48067",1570,184,"Cass"
"08103",1101,179,"Rio Blanco"
"17111",1629,8340,"McHenry"
"20129",NA,NA,"Morton"
"26139",1124,231,"Ottawa"
"35023",NA,NA,"Hidalgo"
"42085",955,1287,"Mercer"
"13161",1526,146,"Jeff Davis"
"01013",1701,177,"Butler"
"05097",1655,66,"Montgomery"
"08014",1715,2582,"Broomfield"
"13269",1627,87,"Taylor"
"18181",1320,465,"White"
"20031",NA,NA,"Coffey"
"29175",1381,219,"Randolph"
"29187",1401,724,"St. Francois"
"27079",1693,929,"Le Sueur"
"28061",1557,40,"Jasper"
"42043",1040,6255,"Dauphin"
"46057",NA,NA,"Hamlin"
"47105",1456,1406,"Loudon"
"48297",2563,73,"Live Oak"
"51680",892,2472,"Lynchburg"
"55135",913,425,"Waupaca"
"54095",NA,NA,"Tyler"
"01093",1627,242,"Marion"
"55061",994,187,"Kewaunee"
"18137",1415,271,"Ripley"
"20115",NA,NA,"Marion"
"28101",1829,85,"Newton"
"13249",1523,40,"Schley"
"13201",2285,47,"Miller"
"38009",1647,61,"Bottineau"
"51610",2305,755,"Falls Church"
"48493",1821,843,"Wilson"
"42097",910,965,"Northumberland"
"13179",1725,1673,"Liberty"
"22071",4736,5159,"Orleans"
"29199",NA,NA,"Scotland"
"31083",1621,29,"Harlan"
"36061",5723,76,"New York"
"37169",1048,1219,"Stokes"
"38059",1789,717,"Morton"
"42105",831,93,"Potter"
"05147",NA,NA,"Woodruff"
"08089",1735,250,"Otero"
"18131",1324,86,"Pulaski"
"19091",1338,78,"Humboldt"
"21239",1408,700,"Woodford"
"20189",NA,NA,"Stevens"
"29025",1855,90,"Caldwell"
"34013",2512,11668,"Essex"
"31019",1829,1041,"Buffalo"
"40037",2270,988,"Creek"
"41003",1081,1551,"Benton"
"46073",NA,NA,"Jerauld"
"47015",1582,189,"Cannon"
"48441",1603,2798,"Taylor"
"54093",NA,NA,"Tucker"
"50021",1754,318,"Rutland"
"72151",NA,NA,"Yabucoa"
"01033",1514,1197,"Colbert"
"08083",1153,671,"Montezuma"
"20097",NA,NA,"Kiowa"
"20209",1539,3736,"Wyandotte"
"21179",1634,1115,"Nelson"
"37103",1938,230,"Jones"
"16055",1071,6235,"Kootenai"
"47043",1473,954,"Dickson"
"48155",NA,NA,"Foard"
"27097",1608,697,"Morrison"
"51177",1322,7071,"Spotsylvania"
"37025",1548,7143,"Cabarrus"
"42113",1187,31,"Sullivan"
"38045",NA,NA,"LaMoure"
"39083",1220,906,"Knox"
"42117",948,223,"Tioga"
"51183",1169,192,"Sussex"
"48179",1959,204,"Gray"
"37071",1227,6480,"Gaston"
"31069",NA,NA,"Garden"
"48191",NA,NA,"Hall"
"31023",1381,23,"Butler"
"36111",1867,1681,"Ulster"
"51197",1088,349,"Wythe"
"38091",NA,NA,"Steele"
"05085",1633,2526,"Lonoke"
"05075",1308,112,"Lawrence"
"29161",1544,504,"Phelps"
"26071",1366,87,"Iron"
"27099",1384,1391,"Mower"
"36015",1521,873,"Chemung"
"37159",1129,3363,"Rowan"
"48243",NA,NA,"Jeff Davis"
"51520",1008,332,"Bristol"
"48261",NA,NA,"Kenedy"
"01045",1602,864,"Dale"
"05101",NA,NA,"Newton"
"13193",1847,62,"Macon"
"31091",NA,NA,"Hooker"
"18143",1510,202,"Scott"
"19121",1511,482,"Madison"
"18079",1225,295,"Jennings"
"20135",NA,NA,"Ness"
"21189",NA,NA,"Owsley"
"19075",1171,156,"Grundy"
"27153",1545,380,"Todd"
"28153",1699,72,"Wayne"
"36123",1229,65,"Yates"
"37109",1246,2239,"Lincoln"
"31115",NA,NA,"Loup"
"47119",1317,2690,"Maury"
"48103",1406,35,"Crane"
"48063",1881,85,"Camp"
"51037",1116,83,"Charlotte"
"72125",NA,NA,"San Germán"
"54015",NA,NA,"Clay"
"18117",1525,116,"Orange"
"19049",1538,3152,"Dallas"
"19167",1148,131,"Sioux"
"12027",2179,288,"DeSoto"
"21201",NA,NA,"Robertson"
"21029",1458,2847,"Bullitt"
"13157",1568,2143,"Jackson"
"16021",1141,387,"Boundary"
"31071",NA,NA,"Garfield"
"45089",1624,181,"Williamsburg"
"55123",1203,87,"Vernon"
"45069",1415,120,"Marlboro"
"48111",1881,62,"Dallam"
"51670",1082,852,"Hopewell"
"48055",1555,430,"Caldwell"
"41013",1165,342,"Crook"
"29043",1513,2759,"Christian"
"27147",1483,1550,"Steele"
"55037",1306,38,"Florence"
"31185",1586,146,"York"
"17101",1408,35,"Lawrence"
"37187",2256,73,"Washington"
"17009",NA,NA,"Brown"
"08007",1353,373,"Archuleta"
"47189",1499,4032,"Wilson"
"46107",NA,NA,"Potter"
"55015",989,732,"Calumet"
"18091",1625,2765,"LaPorte"
"36067",1397,6903,"Onondaga"
"19193",1147,2696,"Woodbury"
"49053",932,4149,"Washington"
"21063",NA,NA,"Elliott"
"19147",1322,96,"Palo Alto"
"17167",1263,2515,"Sangamon"
"35031",1156,200,"McKinley"
"24013",1243,9494,"Carroll"
"37079",1520,319,"Greene"
"47065",1876,12108,"Hamilton"
"17127",1567,80,"Massac"
"47075",1674,183,"Haywood"
"19003",NA,NA,"Adams"
"54077",1155,272,"Preston"
"17165",1655,116,"Saline"
"17163",1540,5636,"St. Clair"
"19019",1352,148,"Buchanan"
"19023",1353,148,"Butler"
"19033",1214,1004,"Cerro Gordo"
"21095",1433,99,"Harlan"
"19041",1248,106,"Clay"
"42057",985,167,"Fulton"
"20037",NA,NA,"Crawford"
"20073",NA,NA,"Greenwood"
"55131",1132,2222,"Washington"
"53021",979,2144,"Franklin"
"42041",1067,7104,"Cumberland"
"29059",1458,203,"Dallas"
"51133",1799,282,"Northumberland"
"21069",1338,37,"Fleming"
"21079",1335,262,"Garrard"
"31013",2091,264,"Box Butte"
"20057",1788,406,"Ford"
"17077",1523,283,"Jackson"
"12001",1560,5022,"Alachua"
"48177",2013,142,"Gonzales"
"18119",1485,226,"Owen"
"72067",NA,NA,"Hormigueros"
"17025",1519,23,"Clay"
"18161",1408,38,"Union"
"42077",1252,7524,"Lehigh"
"42083",896,155,"McKean"
"29125",1762,82,"Maries"
"26039",1339,146,"Crawford"
"27161",1329,570,"Waseca"
"51683",1638,1681,"Manassas"
"31087",NA,NA,"Hitchcock"
"32011",NA,NA,"Eureka"
"36005",2835,3313,"Bronx"
"31085",NA,NA,"Hayes"
"27105",1470,216,"Nobles"
"39023",1114,3155,"Clark"
"35013",1092,4131,"Doña Ana"
"26161",1691,5884,"Washtenaw"
"31139",1478,69,"Pierce"
"26015",2083,23,"Barry"
"35021",NA,NA,"Harding"
"39065",1333,163,"Hardin"
"05029",1550,250,"Conway"
"01123",1628,576,"Tallapoosa"
"31165",NA,NA,"Sioux"
"55113",1313,85,"Sawyer"
"55125",1229,213,"Vilas"
"55141",971,437,"Wood"
"38093",1560,273,"Stutsman"
"38099",1919,77,"Walsh"
"39129",1290,898,"Pickaway"
"39131",1351,116,"Pike"
"46017",NA,NA,"Buffalo"
"39057",1341,2859,"Greene"
"39049",1326,20534,"Franklin"
"29165",1785,3378,"Platte"
"48049",1983,233,"Brown"
"48135",1598,2172,"Ector"
"48235",NA,NA,"Irion"
"49041",902,320,"Sevier"
"51101",1432,846,"King William"
"53055",1559,329,"San Juan"
"13277",1585,684,"Tift"
"56041",1178,760,"Uinta"
"28067",1948,414,"Jones"
"13071",1486,555,"Colquitt"
"48435",NA,NA,"Sutton"
"55021",1168,489,"Columbia"
"55127",1245,1084,"Walworth"
"51820",953,806,"Waynesboro"
"32029",960,129,"Storey"
"72135",NA,NA,"Toa Alta"
"72015",NA,NA,"Arroyo"
"72137",NA,NA,"Toa Baja"
"72149",NA,NA,"Villalba"
"26027",1741,476,"Cass"
"12115",2260,10359,"Sarasota"
"20021",NA,NA,"Cherokee"
"45041",1572,3666,"Florence"
"27017",1595,1067,"Carlton"
"13075",1448,260,"Cook"
"13155",1543,86,"Irwin"
"48065",1724,52,"Carson"
"38027",NA,NA,"Eddy"
"20005",NA,NA,"Atchison"
"51600",2526,1045,"Fairfax"
"51640",825,44,"Galax"
"20013",NA,NA,"Brown"
"29205",NA,NA,"Shelby"
"51690",1050,335,"Martinsville"
"19001",1443,83,"Adair"
"48221",2155,1082,"Hood"
"12015",2408,4615,"Charlotte"
"13077",1474,6187,"Coweta"
"17011",1253,223,"Bureau"
"39173",1264,2007,"Wood"
"48091",1646,2766,"Comal"
"48133",2003,79,"Eastland"
"48497",2048,1247,"Wise"
"17139",1052,114,"Moultrie"
"17029",1113,299,"Coles"
"19067",1259,84,"Floyd"
"20049",NA,NA,"Elk"
"19081",1354,117,"Hancock"
"26045",1343,445,"Eaton"
"19085",1408,321,"Harrison"
"47159",1561,192,"Smith"
"48117",1904,110,"Deaf Smith"
"26067",1353,705,"Ionia"
"20205",NA,NA,"Wilson"
"20203",NA,NA,"Wichita"
"48125",NA,NA,"Dickens"
"49031",NA,NA,"Piute"
"26081",1180,9708,"Kent"
"37085",1300,4300,"Harnett"
"37183",1430,47970,"Wake"
"26107",NA,NA,"Mecosta"
"27159",1431,148,"Wadena"
"46037",NA,NA,"Day"
"21181",1118,37,"Nicholas"
"26123",1361,456,"Newaygo"
"21197",NA,NA,"Powell"
"47165",1958,5891,"Sumner"
"27051",1421,93,"Grant"
"17049",1149,104,"Effingham"
"17061",1493,29,"Greene"
"21013",1386,60,"Bell"
"27003",1790,16943,"Anoka"
"27015",1472,420,"Brown"
"42001",1040,2715,"Adams"
"46013",1726,812,"Brown"
"46083",1655,2255,"Lincoln"
"40093",2501,41,"Major"
"46005",NA,NA,"Beadle"
"21033",1482,83,"Caldwell"
"47017",1107,222,"Carroll"
"46111",NA,NA,"Sanborn"
"42015",1046,414,"Bradford"
"37087",1321,1580,"Haywood"
"48017",1896,36,"Bailey"
"46019",NA,NA,"Butte"
"47063",1139,1588,"Hamblen"
"48025",1699,164,"Bee"
"46059",NA,NA,"Hand"
"42029",1677,15846,"Chester"
"46099",1359,7328,"Minnehaha"
"49001",824,54,"Beaver"
"27073",1573,95,"Lac qui Parle"
"42037",999,648,"Columbia"
"47101",1474,177,"Lewis"
"31033",2117,287,"Cheyenne"
"51003",1392,3847,"Albemarle"
"56003",1157,107,"Big Horn"
"55089",1319,1327,"Ozaukee"
"47161",1460,202,"Stewart"
"55099",868,59,"Price"
"45059",1232,916,"Laurens"
"45063",1301,8158,"Lexington"
"56019",1358,174,"Johnson"
"55119",NA,NA,"Taylor"
"51089",968,1158,"Henry"
"44005",2397,1107,"Newport"
"48447",NA,NA,"Throckmorton"
"19107",1218,49,"Keokuk"
"17203",1180,492,"Woodford"
"13187",1529,779,"Lumpkin"
"39161",1078,198,"Van Wert"
"12043",2141,122,"Glades"
"12051",2068,312,"Hendry"
"48469",2041,1951,"Victoria"
"48481",2167,367,"Wharton"
"13219",1530,1650,"Oconee"
"13225",1524,655,"Peach"
"13237",1632,447,"Putnam"
"13165",2213,34,"Jenkins"
"48239",1902,117,"Jackson"
"24009",1451,5170,"Calvert"
"13245",1366,5554,"Richmond"
"13283",NA,NA,"Treutlen"
"13273",1700,65,"Terrell"
"13289",1660,75,"Twiggs"
"20077",1817,57,"Harper"
"05025",1498,62,"Cleveland"
"19017",1501,276,"Bremer"
"48219",1873,291,"Hockley"
"17153",NA,NA,"Pulaski"
"39003",1176,628,"Allen"
"40107",NA,NA,"Okfuskee"
"27165",1410,168,"Watonwan"
"27149",1485,151,"Stevens"
"39067",1281,96,"Harrison"
"28083",1731,114,"Leflore"
"29039",1550,157,"Cedar"
"31155",1730,463,"Saunders"
"31049",NA,NA,"Deuel"
"27141",1803,4433,"Sherburne"
"48345",NA,NA,"Motley"
"13307",NA,NA,"Webster"
"13311",1468,645,"White"
"41053",1101,2139,"Polk"
"13167",1379,31,"Johnson"
"55057",1014,132,"Juneau"
"55073",1051,1120,"Marathon"
"55053",1304,52,"Jackson"
"72095",NA,NA,"Maunabo"
"72009",NA,NA,"Aibonito"
"55035",1025,1006,"Eau Claire"
"18003",997,10035,"Allen"
"20045",1821,3065,"Douglas"
"18033",1145,872,"DeKalb"
"19087",1360,121,"Henry"
"18011",1782,1698,"Boone"
"18097",1494,18374,"Marion"
"19015",1446,590,"Boone"
"39091",1245,485,"Logan"
"29167",1540,742,"Polk"
"19115",1333,65,"Louisa"
"19173",1305,36,"Taylor"
"39029",1171,1156,"Columbiana"
"20065",NA,NA,"Graham"
"45091",1382,9165,"York"
"55019",1013,82,"Clark"
"20123",NA,NA,"Mitchell"
"20157",NA,NA,"Republic"
"20201",NA,NA,"Washington"
"38007",NA,NA,"Billings"
"40149",2548,46,"Washita"
"40101",1848,874,"Muskogee"
"26035",1230,256,"Clare"
"01027",1654,100,"Clay"
"01037",1632,88,"Coosa"
"37161",1106,1408,"Rutherford"
"40039",2358,446,"Custer"
"05135",1338,125,"Sharp"
"37177",NA,NA,"Tyrrell"
"51035",933,433,"Carroll"
"19051",1448,77,"Davis"
"01069",1600,2789,"Houston"
"13023",1702,132,"Bleckley"
"20121",2137,1064,"Miami"
"13285",1416,1948,"Troup"
"37131",1412,154,"Northampton"
"08121",NA,NA,"Washington"
"08077",1066,6233,"Mesa"
"48309",1405,4141,"McLennan"
"39117",1380,395,"Morrow"
"20153",NA,NA,"Rawlins"
"17129",1714,93,"Menard"
"39121",1146,38,"Noble"
"20193",NA,NA,"Thomas"
"16057",1093,857,"Latah"
"48367",2169,3231,"Parker"
"39135",1164,583,"Preble"
"13059",1334,3276,"Clarke"
"19143",NA,NA,"Osceola"
"39139",1168,1819,"Richland"
"48391",2605,46,"Refugio"
"17181",1662,80,"Union"
"48401",1258,377,"Rusk"
"19181",1579,1920,"Warren"
"19185",1403,25,"Wayne"
"31059",1415,29,"Fillmore"
"48223",1819,255,"Hopkins"
"48423",1780,3820,"Smith"
"48231",1859,1162,"Hunt"
"36105",1501,650,"Sullivan"
"48313",1856,69,"Madison"
"51187",1327,2228,"Warren"
"36017",1193,418,"Chenango"
"48477",1600,375,"Washington"
"48291",2267,826,"Liberty"
"01103",1520,3796,"Morgan"
"40147",1745,835,"Washington"
"51079",1112,797,"Greene"
"42125",1122,4422,"Washington"
"01105",NA,NA,"Perry"
"54051",1082,328,"Marshall"
"01107",1709,143,"Pickens"
"51069",1162,4552,"Frederick"
"54065",1192,223,"Morgan"
"28053",NA,NA,"Humphreys"
"29063",1549,94,"DeKalb"
"29197",NA,NA,"Schuyler"
"51063",1098,393,"Floyd"
"54049",1015,679,"Marion"
"54033",1121,730,"Harrison"
"39051",1134,489,"Fulton"
"54021",NA,NA,"Gilmer"
"29049",1654,375,"Clinton"
"47055",1509,425,"Giles"
"72019",NA,NA,"Barranquitas"
"54005",1606,128,"Boone"
"72037",NA,NA,"Ceiba"
"72051",NA,NA,"Dorado"
"28045",3079,608,"Hancock"
"28099",1794,142,"Neshoba"
"26079",1253,163,"Kalkaska"
"05111",1497,227,"Poinsett"
"12035",1480,3582,"Flagler"
"12133",1657,214,"Washington"
"12107",1581,661,"Putnam"
"12117",1931,13767,"Seminole"
"13087",1489,441,"Decatur"
"40119",2271,1029,"Payne"
"28021",NA,NA,"Claiborne"
"46049",NA,NA,"Faulk"
"28035",2015,975,"Forrest"
"54067",1320,91,"Nicholas"
"72119",NA,NA,"Río Grande"
"72099",NA,NA,"Moca"
"18135",1281,278,"Randolph"
"54079",1271,934,"Putnam"
"35049",1565,3337,"Santa Fe"
"13275",1776,765,"Thomas"
"35041",1779,355,"Roosevelt"
"38075",NA,NA,"Renville"
"17057",1428,484,"Fulton"
"28009",1917,53,"Benton"
"49057",926,8132,"Weber"
"19095",1506,244,"Iowa"
"19047",1227,189,"Crawford"
"72077",NA,NA,"Juncos"
"17045",1367,67,"Edgar"
"41033",1002,2060,"Josephine"
"13309",NA,NA,"Wheeler"
"35033",NA,NA,"Mora"
"51678",1035,277,"Lexington"
"38049",1738,41,"McHenry"
"17183",1183,757,"Vermilion"
"20105",NA,NA,"Lincoln"
"01001",1432,1882,"Autauga"
"26091",1450,1199,"Lenawee"
"26001",1179,88,"Alcona"
"19009",1200,67,"Audubon"
"26111",1346,1663,"Midland"
"18183",1285,621,"Whitley"
"20051",2182,330,"Ellis"
"17079",NA,NA,"Jasper"
"26017",1135,1709,"Bay"
"17007",1299,853,"Boone"
"19043",1311,51,"Clayton"
"18087",1339,428,"LaGrange"
"28033",1664,6378,"DeSoto"
"48053",1677,668,"Burnet"
"28135",NA,NA,"Tallahatchie"
"42093",1046,189,"Montour"
"48413",NA,NA,"Schleicher"
"18039",1235,2811,"Elkhart"
"28109",2461,749,"Pearl River"
"13255",1283,1398,"Spalding"
"19029",1152,356,"Cass"
"21067",1297,8464,"Fayette"
"48085",2273,27751,"Collin"
"54063",NA,NA,"Monroe"
"51121",1241,3086,"Montgomery"
"19045",1268,497,"Clinton"
"36003",1008,223,"Allegany"
"46047",1688,136,"Fall River"
"13085",1675,826,"Dawson"
"18067",1249,1393,"Howard"
"20081",NA,NA,"Haskell"
"48397",2214,2886,"Rockwall"
"48185",2110,186,"Grimes"
"20091",1996,22773,"Johnson"
"38015",2181,2598,"Burleigh"
"46029",1408,797,"Codington"
"48507",NA,NA,"Zavala"
"20075",NA,NA,"Hamilton"
"38001",NA,NA,"Adams"
"01031",1571,1533,"Coffee"
"19165",1178,121,"Shelby"
"26093",1722,4398,"Livingston"
"48473",2457,678,"Waller"
"72043",NA,NA,"Coamo"
"38039",NA,NA,"Griggs"
"13111",1559,620,"Fannin"
"26013",NA,NA,"Baraga"
"19063",1022,41,"Emmet"
"55025",1302,5837,"Dane"
"05115",1536,904,"Pope"
"19005",1189,24,"Allamakee"
"29015",1460,75,"Benton"
"55103",1165,94,"Richland"
"05141",1611,235,"Van Buren"
"22049",1096,131,"Jackson"
"55063",1093,1014,"La Crosse"
"37139",1922,1454,"Pasquotank"
"29067",NA,NA,"Douglas"
"48317",2950,22,"Martin"
"22065",NA,NA,"Madison"
"29101",1687,1126,"Johnson"
"40011",2195,31,"Blaine"
"40015",2019,92,"Caddo"
"08059",1904,18605,"Jefferson"
"29123",1434,79,"Madison"
"48383",NA,NA,"Reagan"
"40137",2155,483,"Stephens"
"29185",1698,36,"St. Clair"
"08047",1775,190,"Gilpin"
"48487",1805,102,"Wilbarger"
"08073",2039,41,"Lincoln"
"41011",1073,889,"Coos"
"08119",1771,998,"Teller"
"48059",1885,173,"Callahan"
"48259",2315,659,"Kendall"
"48315",1870,64,"Marion"
"40001",NA,NA,"Adair"
"48203",1530,652,"Harrison"
"36095",1534,321,"Schoharie"
"48459",1994,436,"Upshur"
"31067",1597,405,"Gage"
"37129",2445,8734,"New Hanover"
"38063",NA,NA,"Nelson"
"17107",1131,185,"Logan"
"26049",1451,6506,"Genesee"
"37137",2516,307,"Pamlico"
"48343",1614,68,"Morris"
"39041",1564,4641,"Delaware"
"48451",1438,2385,"Tom Green"
"72113",NA,NA,"Ponce"
"26043",1014,219,"Dickinson"
"40033",1950,22,"Cotton"
"18105",1443,2456,"Monroe"
"40083",3013,853,"Logan"
"51710",1776,7758,"Norfolk"
"36023",1439,206,"Cortland"
"48375",1722,1312,"Potter"
"48079",NA,NA,"Cochran"
"16003",1196,28,"Adams"
"40007",2410,26,"Beaver"
"55045",1055,163,"Green"
"18063",1479,4703,"Hendricks"
"18179",1030,635,"Wells"
"28015",2004,34,"Carroll"
"46015",NA,NA,"Brule"
"51510",1864,4186,"Alexandria"
"19117",1503,110,"Lucas"
"20089",NA,NA,"Jewell"
"51025",1234,175,"Brunswick"
"48341",1837,252,"Moore"
"27049",1672,1435,"Goodhue"
"24045",1339,3428,"Wicomico"
"42073",954,1276,"Lawrence"
"37197",1147,724,"Yadkin"
"46003",NA,NA,"Aurora"
"54001",1212,37,"Barbour"
"37157",1032,2221,"Rockingham"
"48211",NA,NA,"Hemphill"
"46121",NA,NA,"Todd"
"72129",NA,NA,"San Lorenzo"
"17121",1475,157,"Marion"
"42059",1027,191,"Greene"
"18069",1044,775,"Huntington"
"42115",1021,232,"Susquehanna"
"27103",1493,1169,"Nicollet"
"36001",1719,3864,"Albany"
"20177",1682,4051,"Shawnee"
"48127",NA,NA,"Dimmit"
"48319",NA,NA,"Mason"
"28155",NA,NA,"Webster"
"21223",1537,102,"Trimble"
"12041",1563,173,"Gilchrist"
"01087",1627,82,"Macon"
"40133",1917,76,"Seminole"
"08039",2315,1056,"Elbert"
"28051",NA,NA,"Holmes"
"37143",2537,406,"Perquimans"
"31047",1688,370,"Dawson"
"19111",1406,160,"Lee"
"19083",1326,126,"Hardin"
"51093",2251,2037,"Isle of Wight"
"47169",1619,120,"Trousdale"
"17185",NA,NA,"Wabash"
"20093",NA,NA,"Kearny"
"31167",1429,72,"Stanton"
"48099",1288,1754,"Coryell"
"20079",1814,562,"Harvey"
"21219",1735,86,"Todd"
"51049",1143,254,"Cumberland"
"48011",NA,NA,"Armstrong"
"13133",1893,284,"Greene"
"29079",1298,72,"Grundy"
"28069",2330,32,"Kemper"
"26069",1146,312,"Iosco"
"39109",1122,2196,"Miami"
"39149",1170,560,"Shelby"
"05043",1630,185,"Drew"
"72065",NA,NA,"Hatillo"
"47035",1267,777,"Cumberland"
"20063",NA,NA,"Gove"
"55005",1360,242,"Barron"
"29203",NA,NA,"Shannon"
"20199",NA,NA,"Wallace"
"51179",1431,7409,"Stafford"
"08003",1220,153,"Alamosa"
"29135",1607,73,"Moniteau"
"51700",1387,6982,"Newport News"
"28129",2380,29,"Smith"
"48041",1616,3550,"Brazos"
"40055",2062,41,"Greer"
