"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1165,893,916,"Chautauqua","NY"
"37181",1408,1188,481,"Vance","NC"
"47183",1647,1459,404,"Weakley","TN"
"44003",2086,1810,3596,"Kent","RI"
"08101",2524,2288,4874,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",2034,1798,1795,"Pulaski","MO"
"19151",1698,1610,25,"Pocahontas","IA"
"22039",1888,1663,226,"Evangeline","LA"
"28049",2350,1990,3080,"Hinds","MS"
"28081",1982,1688,1006,"Lee","MS"
"29117",1785,1551,267,"Livingston","MO"
"21083",2215,2009,281,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",2510,2196,289,"Garvin","OK"
"47083",1839,1652,114,"Houston","TN"
"48189",2035,1850,468,"Hale","TX"
"51830",1967,1721,433,"Williamsburg","VA"
"51595",1507,1345,76,"Emporia","VA"
"51169",1420,1203,125,"Scott","VA"
"55069",1314,1103,285,"Lincoln","WI"
"35043",1481,1237,4701,"Sandoval","NM"
"27065",2614,2297,278,"Kanabec","MN"
"13321",1756,1491,259,"Worth","GA"
"37145",1573,1353,814,"Person","NC"
"31035",2500,2229,51,"Clay","NE"
"31169",2687,2666,23,"Thayer","NE"
"54083",1421,1173,53,"Randolph","WV"
"47077",1796,1550,408,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",3005,2467,8217,"Manatee","FL"
"16027",1469,1064,3581,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",2118,1841,3598,"Kenton","KY"
"22091",2432,2092,72,"St. Helena","LA"
"27133",1800,1655,239,"Rock","MN"
"29119",2285,2030,203,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1618,1429,164,"Henry","OH"
"47151",1866,1697,133,"Scott","TN"
"06011",1577,1193,566,"Colusa","CA"
"13063",1953,1761,6561,"Clayton","GA"
"13057",2315,2022,9483,"Cherokee","GA"
"18065",1729,1557,617,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
