"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1102,895,1697,"Chautauqua","NY"
"37181",1336,1156,611,"Vance","NC"
"47183",1486,1267,466,"Weakley","TN"
"44003",1851,1542,4246,"Kent","RI"
"08101",2013,1804,6068,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",1696,1502,2103,"Pulaski","MO"
"19151",1485,1402,52,"Pocahontas","IA"
"22039",1533,1354,277,"Evangeline","LA"
"28049",2143,1796,4089,"Hinds","MS"
"28081",1692,1461,1366,"Lee","MS"
"29117",1443,1251,264,"Livingston","MO"
"21083",1909,1649,381,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",2168,1920,305,"Garvin","OK"
"47083",1478,1340,143,"Houston","TN"
"48189",1956,1795,578,"Hale","TX"
"51830",1528,1348,587,"Williamsburg","VA"
"51595",1112,911,107,"Emporia","VA"
"51169",1169,968,171,"Scott","VA"
"55069",1271,1091,363,"Lincoln","WI"
"35043",1313,1067,5693,"Sandoval","NM"
"27065",2103,1810,371,"Kanabec","MN"
"13321",1761,1591,362,"Worth","GA"
"37145",1288,1150,1019,"Person","NC"
"31035",2060,1971,65,"Clay","NE"
"31169",2180,1883,29,"Thayer","NE"
"54083",1487,1304,81,"Randolph","WV"
"47077",1522,1395,421,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",2409,1919,9996,"Manatee","FL"
"16027",1088,840,5122,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",1929,1646,4358,"Kenton","KY"
"22091",2043,1713,88,"St. Helena","LA"
"27133",1578,1435,164,"Rock","MN"
"29119",1858,1587,250,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1441,1301,191,"Henry","OH"
"47151",1773,1526,147,"Scott","TN"
"06011",1278,988,632,"Colusa","CA"
"13063",1788,1586,7611,"Clayton","GA"
"13057",1965,1664,12146,"Cherokee","GA"
"18065",1348,1182,700,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
"21215",1903,1669,688,"Spencer","KY"
