"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1316,1043,938,"Chautauqua","NY"
"37181",1897,1602,491,"Vance","NC"
"47183",2190,1969,456,"Weakley","TN"
"44003",2768,2445,4414,"Kent","RI"
"08101",3567,3126,5594,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",2390,2125,1763,"Pulaski","MO"
"19151",2958,2709,23,"Pocahontas","IA"
"22039",2785,2316,258,"Evangeline","LA"
"28049",2904,2489,2996,"Hinds","MS"
"28081",2334,1992,1595,"Lee","MS"
"29117",2188,1812,312,"Livingston","MO"
"21083",2910,2578,378,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",3209,2846,270,"Garvin","OK"
"47083",2404,2025,134,"Houston","TN"
"48189",2434,1962,389,"Hale","TX"
"51830",2407,2034,460,"Williamsburg","VA"
"51595",1926,1620,84,"Emporia","VA"
"51169",1881,1570,184,"Scott","VA"
"55069",1697,1559,329,"Lincoln","WI"
"35043",2094,1649,4925,"Sandoval","NM"
"27065",3213,2821,357,"Kanabec","MN"
"13321",1971,1766,270,"Worth","GA"
"37145",1773,1514,820,"Person","NC"
"31035",3317,3176,59,"Clay","NE"
"31169",3762,3229,23,"Thayer","NE"
"54083",1630,1429,63,"Randolph","WV"
"47077",2395,2072,424,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",4126,3362,9705,"Manatee","FL"
"16027",1554,1229,4384,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",2704,2332,4194,"Kenton","KY"
"22091",3036,2649,78,"St. Helena","LA"
"27133",2692,2372,244,"Rock","MN"
"29119",2676,2310,225,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1988,1790,231,"Henry","OH"
"47151",2288,1977,195,"Scott","TN"
"06011",1866,1489,606,"Colusa","CA"
"13063",2466,2166,6943,"Clayton","GA"
"13057",2882,2448,10474,"Cherokee","GA"
"18065",2220,2008,824,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
