"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1074,847,1689,"Chautauqua","NY"
"37181",1281,1108,574,"Vance","NC"
"47183",1404,1196,443,"Weakley","TN"
"44003",1764,1438,4331,"Kent","RI"
"08101",1876,1684,5999,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",1678,1481,2126,"Pulaski","MO"
"19151",1374,1330,51,"Pocahontas","IA"
"22039",1520,1328,301,"Evangeline","LA"
"28049",2124,1773,4186,"Hinds","MS"
"28081",1645,1413,1293,"Lee","MS"
"29117",1457,1264,241,"Livingston","MO"
"21083",1821,1615,374,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",1993,1788,277,"Garvin","OK"
"47083",1459,1311,130,"Houston","TN"
"48189",1819,1537,566,"Hale","TX"
"51830",1501,1242,618,"Williamsburg","VA"
"51595",1047,863,111,"Emporia","VA"
"51169",1168,990,166,"Scott","VA"
"55069",1165,1010,379,"Lincoln","WI"
"35043",1146,913,5578,"Sandoval","NM"
"27065",2043,1742,364,"Kanabec","MN"
"13321",1555,1343,332,"Worth","GA"
"37145",1243,1112,959,"Person","NC"
"31035",2010,1922,64,"Clay","NE"
"31169",1939,1765,31,"Thayer","NE"
"54083",1359,1121,81,"Randolph","WV"
"47077",1452,1308,424,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",2106,1659,9738,"Manatee","FL"
"16027",1013,772,5072,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",1837,1549,4361,"Kenton","KY"
"22091",1918,1362,82,"St. Helena","LA"
"27133",1520,1412,159,"Rock","MN"
"29119",1810,1534,229,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1380,1236,234,"Henry","OH"
"47151",1787,1474,130,"Scott","TN"
"06011",1254,968,627,"Colusa","CA"
"13063",1632,1418,7581,"Clayton","GA"
"13057",1961,1642,12061,"Cherokee","GA"
"18065",1318,1124,695,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
"21215",1743,1556,702,"Spencer","KY"
