"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1178,899,1263,"Chautauqua","NY"
"37181",1348,1137,662,"Vance","NC"
"47183",1444,1255,483,"Weakley","TN"
"44003",1981,1649,3678,"Kent","RI"
"08101",2145,1916,6212,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",1761,1588,2057,"Pulaski","MO"
"19151",1457,1460,47,"Pocahontas","IA"
"22039",1501,1282,325,"Evangeline","LA"
"28049",2172,1822,4150,"Hinds","MS"
"28081",1744,1495,1413,"Lee","MS"
"29117",1491,1221,274,"Livingston","MO"
"21083",1915,1645,390,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",2217,1932,343,"Garvin","OK"
"47083",1474,1365,154,"Houston","TN"
"48189",1838,1618,554,"Hale","TX"
"51830",1698,1515,566,"Williamsburg","VA"
"51595",1317,1046,102,"Emporia","VA"
"51169",1182,1039,172,"Scott","VA"
"55069",1214,1023,368,"Lincoln","WI"
"35043",1421,1162,5911,"Sandoval","NM"
"27065",2220,1895,357,"Kanabec","MN"
"13321",1771,1482,345,"Worth","GA"
"37145",1325,1163,1030,"Person","NC"
"31035",2249,2016,67,"Clay","NE"
"31169",2118,2054,33,"Thayer","NE"
"54083",1367,1127,95,"Randolph","WV"
"47077",1519,1415,447,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",2185,1711,9601,"Manatee","FL"
"16027",1198,900,4725,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",1973,1649,4312,"Kenton","KY"
"22091",1768,1428,89,"St. Helena","LA"
"27133",1533,1459,172,"Rock","MN"
"29119",1937,1672,277,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1383,1182,203,"Henry","OH"
"47151",1703,1504,154,"Scott","TN"
"06011",1397,1040,667,"Colusa","CA"
"13063",1741,1545,7533,"Clayton","GA"
"13057",1851,1586,11905,"Cherokee","GA"
"18065",1431,1226,703,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
