"FIPS","mean_premium","median_premium","n_obs","NAME","StateAbb"
"29227",NA,NA,NA,"Worth","MO"
"31061",NA,NA,NA,"Franklin","NE"
"36013",1085,824,1572,"Chautauqua","NY"
"37181",1237,1089,584,"Vance","NC"
"47183",1369,1188,413,"Weakley","TN"
"44003",1743,1400,4402,"Kent","RI"
"08101",1791,1584,6157,"Pueblo","CO"
"17175",NA,NA,NA,"Stark","IL"
"29169",1554,1363,1962,"Pulaski","MO"
"19151",1467,1243,43,"Pocahontas","IA"
"22039",1572,1361,281,"Evangeline","LA"
"28049",2094,1735,4038,"Hinds","MS"
"28081",1648,1431,1242,"Lee","MS"
"29117",1391,1232,226,"Livingston","MO"
"21083",1765,1540,314,"Graves","KY"
"28037",NA,NA,NA,"Franklin","MS"
"40049",2099,1896,267,"Garvin","OK"
"47083",1479,1234,111,"Houston","TN"
"48189",1807,1595,577,"Hale","TX"
"51830",1533,1248,640,"Williamsburg","VA"
"51595",1031,902,106,"Emporia","VA"
"51169",1192,994,151,"Scott","VA"
"55069",1176,976,325,"Lincoln","WI"
"35043",1207,931,5903,"Sandoval","NM"
"27065",2149,1773,391,"Kanabec","MN"
"13321",1471,1205,319,"Worth","GA"
"37145",1234,1072,933,"Person","NC"
"31035",1763,1629,53,"Clay","NE"
"31169",1941,1696,32,"Thayer","NE"
"54083",1183,1105,65,"Randolph","WV"
"47077",1422,1302,397,"Henderson","TN"
"72033",NA,NA,NA,"Cataño",NA
"48263",NA,NA,NA,"Kent","TX"
"12081",2039,1634,9946,"Manatee","FL"
"16027",994,746,5507,"Canyon","ID"
"17069",NA,NA,NA,"Hardin","IL"
"21117",1783,1511,4413,"Kenton","KY"
"22091",2047,1684,74,"St. Helena","LA"
"27133",1453,1346,170,"Rock","MN"
"29119",1711,1429,202,"McDonald","MO"
"40025",NA,NA,NA,"Cimarron","OK"
"39069",1240,1047,189,"Henry","OH"
"47151",1670,1468,115,"Scott","TN"
"06011",1240,946,584,"Colusa","CA"
"13063",1543,1333,7724,"Clayton","GA"
"13057",1777,1506,12243,"Cherokee","GA"
"18065",1324,1140,709,"Henry","IN"
"20101",NA,NA,NA,"Lane","KS"
"21215",1732,1464,701,"Spencer","KY"
